sl_no,gender,ssc_p,hsc_p,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status
1,M,67,91,58,Sci&Tech,No,55,Mkt&HR,58.8,Placed
2,M,79.33,78.33,77.48,Sci&Tech,Yes,86.5,Mkt&Fin,66.28,Placed
3,M,65,68,64,Comm&Mgmt,No,75,Mkt&Fin,57.8,Placed
4,M,56,52,52,Sci&Tech,No,66,Mkt&HR,59.43,Not Placed
5,M,85.8,73.6,73.3,Comm&Mgmt,No,96.8,Mkt&Fin,55.5,Placed
6,M,55,49.8,67.25,Sci&Tech,Yes,55,Mkt&Fin,51.58,Not Placed
7,F,46,49.2,79,Comm&Mgmt,No,74.28,Mkt&Fin,53.29,Not Placed
8,M,82,64,66,Sci&Tech,Yes,67,Mkt&Fin,62.14,Placed
9,M,73,79,72,Comm&Mgmt,No,91.34,Mkt&Fin,61.29,Placed
10,M,58,70,61,Comm&Mgmt,No,54,Mkt&Fin,52.21,Not Placed
11,M,58,61,60,Comm&Mgmt,Yes,62,Mkt&HR,60.85,Placed
12,M,69.6,68.4,78.3,Comm&Mgmt,Yes,60,Mkt&Fin,63.7,Placed
13,F,47,55,65,Comm&Mgmt,No,62,Mkt&HR,65.04,Not Placed
14,F,77,87,59,Comm&Mgmt,No,68,Mkt&Fin,68.63,Placed
15,M,62,47,50,Comm&Mgmt,No,76,Mkt&HR,54.96,Not Placed
16,F,65,75,69,Comm&Mgmt,Yes,72,Mkt&Fin,64.66,Placed
17,M,63,66.2,65.6,Comm&Mgmt,Yes,60,Mkt&Fin,62.54,Placed
18,F,55,67,64,Comm&Mgmt,No,60,Mkt&Fin,67.28,Not Placed
19,F,63,66,64,Comm&Mgmt,No,68,Mkt&HR,64.08,Not Placed
20,M,60,67,70,Comm&Mgmt,Yes,50.48,Mkt&Fin,77.89,Placed
21,M,62,65,66,Comm&Mgmt,No,50,Mkt&HR,56.7,Placed
22,F,79,76,85,Comm&Mgmt,No,95,Mkt&Fin,69.06,Placed
23,F,69.8,60.8,72.23,Sci&Tech,No,55.53,Mkt&HR,68.81,Placed
24,F,77.4,60,64.74,Sci&Tech,Yes,92,Mkt&Fin,63.62,Placed
25,M,76.5,97.7,78.86,Sci&Tech,No,97.4,Mkt&Fin,74.01,Placed
26,F,52.58,54.6,50.2,Comm&Mgmt,Yes,76,Mkt&Fin,65.33,Not Placed
