FECHA,CO,NO2,NOX,O3,PM10,SO2
01/01/2000,3.7,31,104,7,89,21
01/01/2000,2.6,32,98,7,94,23
01/01/2000,3.1,27,102,7,82,17
01/01/2000,3.4,26,117,7,67,15
01/01/2000,3.6,26,123,7,61,13
01/01/2000,2.4,23,78,5,38,12
01/01/2000,1.8,22,64,3,27,11
01/01/2000,1.9,22,77,2,25,11
01/01/2000,1.7,26,64,4,37,14
01/01/2000,1.9,45,74,7,53,13
01/01/2000,1.7,55,67,7,67,16
01/01/2000,1.1,29,32,20,41,12
01/01/2000,0.7,18,21,25,20,8
01/01/2000,0.9,25,27,45,28,9
01/01/2000,1.3,31,34,74,62,8
01/01/2000,1.6,39,42,79,68,10
01/01/2000,1.6,35,38,87,74,11
01/01/2000,1.7,41,45,78,74,12
01/01/2000,3.7,96,123,15,69,13
01/01/2000,2.7,67,97,23,109,37
01/01/2000,4.3,83,150,10,99,37
01/01/2000,4.8,92,163,7,98,43
01/01/2000,4.8,81,152,6,70,46
01/01/2000,5.9,71,243,7,64,43
02/01/2000,4.6,57,209,6,44,57
02/01/2000,2.1,46,93,3,31,58
02/01/2000,1.0,33,43,12,21,44
02/01/2000,0.7,25,28,16,19,36
02/01/2000,0.7,30,36,8,24,25
02/01/2000,0.5,23,26,12,19,22
02/01/2000,0.7,24,32,8,18,17
02/01/2000,1.6,30,73,6,21,13
02/01/2000,2.8,37,124,5,39,15
02/01/2000,2.8,61,101,25,57,12
02/01/2000,2.4,57,76,65,58,14
02/01/2000,1.7,42,53,92,55,24
02/01/2000,1.7,35,51,85,13,19
02/01/2000,1.8,36,48,100,20,16
02/01/2000,1.9,41,54,141,51,16
02/01/2000,1.8,42,47,159,48,15
02/01/2000,2.5,57,65,153,53,9
02/01/2000,2.0,37,41,154,80,19
02/01/2000,2.8,58,67,89,66,17
02/01/2000,3.0,71,97,5,131,13
02/01/2000,3.2,77,111,6,94,17
02/01/2000,4.8,74,179,6,76,22
02/01/2000,4.6,61,184,6,47,23
02/01/2000,2.6,53,97,5,39,20
03/01/2000,2.2,50,84,5,31,18
03/01/2000,2.2,48,84,5,28,14
03/01/2000,1.9,44,75,5,23,13
03/01/2000,1.8,39,80,4,29,12
03/01/2000,1.2,33,71,5,16,11
03/01/2000,1.3,35,63,3,17,9
03/01/2000,3.1,37,140,5,22,10
03/01/2000,8.1,47,346,7,32,18
03/01/2000,7.8,49,318,8,38,22
03/01/2000,7.1,93,264,9,71,28
03/01/2000,4.3,113,174,38,53,28
