FECHA,CO,TLA,NO2,NOX,O3,PM10,SO2
01/01/2010,1.1,9,47,56,3,98,10
01/01/2010,1.1,10,46,55,3,114,8
01/01/2010,1.1,-99,-99,-99,5,167,10
01/01/2010,1.0,-99,-99,-99,7,120,10
01/01/2010,0.7,-99,-99,-99,9,57,17
01/01/2010,0.3,0,23,19,14,59,5
01/01/2010,0.2,0,12,9,21,18,1
01/01/2010,0.2,0,13,11,21,17,1
01/01/2010,0.2,0,15,15,21,23,2
01/01/2010,0.1,1,6,8,34,9,1
01/01/2010,0.1,4,10,14,37,15,1
01/01/2010,0.2,2,9,10,45,15,1
01/01/2010,0.2,2,10,12,45,17,1
01/01/2010,0.2,4,10,14,51,21,2
01/01/2010,0.2,3,10,13,62,23,1
01/01/2010,0.3,1,13,14,73,20,1
01/01/2010,0.3,2,18,20,65,37,2
01/01/2010,0.3,2,20,21,35,48,2
01/01/2010,0.4,4,30,33,18,51,12
01/01/2010,0.6,10,43,53,6,58,69
01/01/2010,0.4,5,29,34,12,38,31
01/01/2010,0.6,31,38,69,2,53,70
01/01/2010,0.6,33,38,71,2,49,82
01/01/2010,0.4,31,37,69,2,47,102
02/01/2010,0.4,14,32,46,3,37,44
02/01/2010,0.3,10,33,43,2,31,44
02/01/2010,0.3,20,33,53,2,34,74
02/01/2010,0.3,14,32,46,2,33,61
02/01/2010,0.3,2,27,30,2,29,27
02/01/2010,0.3,3,25,27,2,35,14
02/01/2010,0.6,53,31,85,1,44,33
02/01/2010,1.0,66,32,98,2,43,26
02/01/2010,1.1,61,34,95,4,57,25
02/01/2010,1.1,44,41,85,9,54,20
02/01/2010,1.2,35,47,81,14,64,16
02/01/2010,1.4,37,59,97,18,75,14
02/01/2010,1.6,28,68,96,38,70,11
02/01/2010,0.8,3,35,37,63,31,5
02/01/2010,0.6,3,25,27,60,4,3
02/01/2010,0.5,1,30,30,64,27,3
02/01/2010,0.7,2,35,36,64,32,3
02/01/2010,0.9,3,43,44,45,75,6
02/01/2010,0.6,1,34,32,29,78,8
02/01/2010,0.5,2,27,28,21,24,4
02/01/2010,0.3,1,20,21,20,9,2
02/01/2010,0.3,2,31,32,12,19,5
02/01/2010,0.4,4,30,34,11,21,7
02/01/2010,0.2,0,26,26,16,7,12
03/01/2010,0.3,0,26,26,17,11,5
03/01/2010,0.3,2,30,31,10,11,5
03/01/2010,0.2,1,28,28,15,6,9
03/01/2010,0.2,0,27,25,13,13,11
03/01/2010,0.2,0,24,22,14,23,8
03/01/2010,0.3,1,26,26,10,21,6
03/01/2010,0.5,10,32,42,2,27,11
03/01/2010,0.5,20,33,53,3,33,19
03/01/2010,0.6,29,30,59,6,38,22
03/01/2010,0.6,19,27,46,12,35,28
03/01/2010,0.6,17,26,43,18,42,28
03/01/2010,0.6,13,28,41,23,42,25
03/01/2010,0.6,14,28,42,22,43,22
03/01/2010,0.5,9,27,35,18,46,21
03/01/2010,0.5,15,19,34,14,26,6
03/01/2010,0.5,12,20,32,13,21,6
03/01/2010,0.5,13,25,38,12,17,5
03/01/2010,0.4,12,24,35,13,19,4
