FECHA,HORA,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
01/01/2022,1,1.33,28,51,80,1,82,48,3
01/01/2022,2,1.32,37,43,79,1,91,58,3
01/01/2022,3,0.99,17,40,57,2,100,69,3
01/01/2022,4,0.9,15,38,53,2,77,53,2
01/01/2022,5,0.84,12,37,49,1,64,41,1
01/01/2022,6,0.81,12,35,48,2,71,47,2
01/01/2022,7,0.62,5,29,34,4,54,36,2
01/01/2022,8,0.57,9,26,35,6,50,33,1
01/01/2022,9,0.74,19,30,49,10,66,43,2
01/01/2022,10,0.87,38,48,86,18,135,89,8
01/01/2022,11,0.79,31,57,87,27,139,93,8
01/01/2022,12,0.73,7,40,48,63,132,96,7
01/01/2022,13,0.63,4,35,39,78,126,92,7
01/01/2022,14,0.2,2,15,17,69,58,32,4
01/01/2022,15,0.2,2,15,17,64,52,26,3
01/01/2022,16,0.13,1,12,13,57,44,20,3
01/01/2022,17,0.07,3,12,15,45,45,26,3
01/01/2022,18,0.1,3,10,14,35,41,23,2
01/01/2022,19,0.34,13,25,39,18,36,18,2
01/01/2022,20,0.59,26,38,65,3,44,9,11
01/01/2022,21,0.78,32,35,67,1,50,18,2
01/01/2022,22,0.68,31,33,64,1,37,14,1
01/01/2022,23,0.58,21,30,51,1,31,13,2
01/01/2022,24,0.76,43,29,72,1,37,16,2
02/01/2022,1,0.29,11,25,36,2,18,4,1
02/01/2022,2,0.15,4,20,24,5,9,1,1
02/01/2022,3,0.22,10,23,32,2,12,4,1
02/01/2022,4,0.14,11,20,31,2,24,14,1
02/01/2022,5,0.11,6,18,24,4,17,10,1
02/01/2022,6,0.09,4,18,22,3,23,15,1
02/01/2022,7,0.25,19,21,39,1,17,6,1
02/01/2022,8,0.56,44,21,65,1,17,1,1
02/01/2022,9,0.74,53,24,77,4,28,7,2
02/01/2022,10,0.98,70,40,109,10,75,28,7
02/01/2022,11,0.58,39,41,80,18,64,29,9
02/01/2022,12,0.23,12,17,29,28,34,16,4
02/01/2022,13,0.14,8,11,19,37,35,10,5
02/01/2022,14,0.09,4,10,14,40,47,15,8
02/01/2022,15,0.12,4,8,13,40,-99,-99,3
02/01/2022,16,0.14,5,11,16,36,100,10,1
02/01/2022,17,0.19,7,15,21,30,217,17,2
02/01/2022,18,0.17,4,13,17,22,550,30,4
02/01/2022,19,0.16,3,15,18,20,178,23,5
02/01/2022,20,0.18,5,17,22,13,70,18,5
02/01/2022,21,0.23,6,22,27,8,51,15,4
02/01/2022,22,0.14,4,18,22,12,35,11,4
02/01/2022,23,0.18,8,27,35,8,23,7,5
02/01/2022,24,0.1,2,20,23,14,24,7,7
03/01/2022,1,-99,-99,-99,-99,-99,40,18,-99
