V1,V2,V3,V4,V5,V6,V7,V8,V9
18,8,398,130,3504,12,70,1,chevrolet chevelle malibu
15,8,492,165,3693,11.5,70,1,buick skylark 320
18,8,371,150,3436,11,70,1,plymouth satellite
16,8,117,150,3433,12,70,1,amc rebel sst
17,8,200,140,3449,10.5,70,1,ford torino
15,8,175,198,4341,10,70,1,ford galaxie 500
14,8,243,220,4354,9,70,1,chevrolet impala
14,8,225,215,4312,8.5,70,1,plymouth fury iii
14,8,400,225,4425,10,70,1,pontiac catalina
15,8,141,190,3850,8.5,70,1,amc ambassador dpl
15,8,312,170,3563,10,70,1,dodge challenger se
14,8,141,160,3609,8,70,1,plymouth 'cuda 340
15,8,479,150,3761,9.5,70,1,chevrolet monte carlo
14,8,193,225,3086,10,70,1,buick estate wagon (sw)
24,4,106,95,2372,15,70,2,toyota corona mark ii
22,6,281,95,2833,15.5,70,1,plymouth duster
18,6,161,97,2774,15.5,70,1,amc hornet
21,6,476,85,2587,16,70,1,ford maverick
27,4,108,88,2130,14.5,70,2,datsun pl510
26,4,195,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan
25,4,106,87,2672,17.5,70,2,peugeot 504
24,4,454,90,2430,14.5,70,2,audi 100 ls
25,4,258,95,2375,17.5,70,2,saab 99e
26,4,174,113,2234,12.5,70,2,bmw 2002
21,6,173,90,2648,15,70,1,amc gremlin
10,8,199,215,4615,14,70,1,ford f250
10,8,484,200,4376,15,70,1,chevy c20
11,8,488,210,4382,13.5,70,1,dodge d200
9,8,88,193,4732,18.5,70,1,hi 1200d
27,4,401,88,2130,14.5,71,2,datsun pl510
28,4,113,90,2264,15.5,71,1,chevrolet vega 2300
25,4,316,95,2228,14,71,2,toyota corona
19,6,399,100,2634,13,71,1,amc gremlin
16,6,278,105,3439,15.5,71,1,plymouth satellite custom
17,6,136,100,3329,15.5,71,1,chevrolet chevelle malibu
19,6,164,88,3302,15.5,71,1,ford torino 500
18,6,307,100,3288,15.5,71,1,amc matador
14,8,340,165,4209,12,71,1,chevrolet impala
14,8,485,175,4464,11.5,71,1,pontiac catalina brougham
14,8,214,153,4154,13.5,71,1,ford galaxie 500
14,8,143,150,4096,13,71,1,plymouth fury iii
12,8,271,180,4955,11.5,71,1,dodge monaco (sw)
13,8,99,170,4746,12,71,1,ford country squire (sw)
13,8,455,175,5140,12,71,1,pontiac safari (sw)
18,6,339,110,2962,13.5,71,1,amc hornet sportabout (sw)
22,4,426,72,2408,19,71,1,chevrolet vega (sw)
19,6,264,100,3282,15,71,1,pontiac firebird
18,6,201,88,3139,14.5,71,1,ford mustang
23,4,228,86,2220,14,71,1,mercury capri 2000
28,4,407,90,2123,14,71,2,opel 1900
30,4,184,70,2074,19.5,71,2,peugeot 304
30,4,285,76,2065,14.5,71,2,fiat 124b
31,4,421,65,1773,19,71,2,toyota corolla 1200
