"humedal","c_elec","bicarb","cloru","sulfa","calcio","magn","sodio","pota","fosf"
"Caja",0.315,1.6694,5,86,55,4,4,2,1.8082
"Camunas",8,3.7282,2388,7638,2123,972,1757,5,0.3228
"Capacete",3.41,4.0642,732,881,218,122,379,41,74.588
"Cerero",3.94,1.4586,1359,772,251,96,710,14,0.0968
"Chica",2.8,4.4862,220,2510,572,20,458,7,0.0968
"Dulce",1.56,2.4745,269,495,157,38,162,9,0.3228
"FPSalinas",11,1.2206,3038,923,233,226,1488,11,0.0645
"FPVicaria",8.75,2.6384,4325,456,234,229,2371,11,1.1947
"Grande",2.6,3.3251,840,2270,609,86,284,7,0.5166
"Gualdal",6.37,2.5483,2320,1040,1294,192,485,23,0.4843
"Hoyos1",1.18,5.1966,13,499,202,20,5,18,6.7807
"Lobon",0.57,1.7494,110,42,21,12,60,6,0.5812
"Marcela",3.4,2.1189,1121,866,157,115,643,4,0.7426
"Ratosa",3.48,1.7207,1484,554,151,151,708,7,0.1291
"Redonda",4.62,1.0357,472,2964,752,160,652,34,0.1291
"Salada",3.8,0.8685,1023,2274,1946,360,430,23,0.5489
"Viso",0.3,1.8567,7,15,39,3,4,2,4.4882
